date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:14:27	122524/122524	---M--	200	added ('OK')	font/ttf	etag:%22322172f-1de9c-56b18f8f8df00%22	http://jessdesigntan.com/fonts/Lato-Light.ttf	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/fonts/Lato-Light.ttf	(from http://jessdesigntan.com/css/style.css)
19:14:27	848/848	---M--	200	added ('OK')	image/svg+xml	etag:%223182279-350-5780a74509f00%22	http://jessdesigntan.com/images/arrow-btn-grey.svg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/arrow-btn-grey.svg	(from http://jessdesigntan.com/css/style.css)
19:14:28	31860/31860	---M--	200	added ('OK')	font/woff	etag:%223221713-7c74-56b18f8f8df00%22	http://jessdesigntan.com/fonts/lato-regular-webfont.woff	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/fonts/lato-regular-webfont.woff	(from http://jessdesigntan.com/css/style.css)
19:14:36	120196/120196	---M--	200	added ('OK')	font/ttf	etag:%223221712-1d584-56b18f8f8df00%22	http://jessdesigntan.com/fonts/Lato-Regular.ttf	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/fonts/Lato-Regular.ttf	(from http://jessdesigntan.com/css/style.css)
19:14:41	94544/94544	---M--	200	added ('OK')	image/jpeg	etag:%22318227a-17150-57867f9b66c80%22	http://jessdesigntan.com/images/card-fitness.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/card-fitness.jpg	(from http://jessdesigntan.com/css/style.css)
19:14:42	85187/85187	---M--	200	added ('OK')	image/jpeg	etag:%223182269-14cc3-57861a58a0500%22	http://jessdesigntan.com/images/card-timezone.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/card-timezone.jpg	(from http://jessdesigntan.com/css/style.css)
19:14:43	84602/84602	---M--	200	added ('OK')	image/jpeg	etag:%223182275-14a7a-57861a58a0500%22	http://jessdesigntan.com/images/card-spotify.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/card-spotify.jpg	(from http://jessdesigntan.com/css/style.css)
19:14:43	687/687	---M--	200	added ('OK')	image/svg+xml	etag:%223201db5-2af-5781805a80940%22	http://jessdesigntan.com/images/workitout/header_bg.svg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/workitout/header_bg.svg	(from http://jessdesigntan.com/css/style.css)
19:14:44	461/461	---M--	200	added ('OK')	image/svg+xml	etag:%2231c3439-1cd-5782c97e7d380%22	http://jessdesigntan.com/images/timezone/bullet.svg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/timezone/bullet.svg	(from http://jessdesigntan.com/css/style.css)
19:14:56	97280/97280	---M--	200	added ('OK')	image/jpeg	etag:%223182272-17c00-57861a58a0500%22	http://jessdesigntan.com/images/card-dc.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/card-dc.jpg	(from http://jessdesigntan.com/css/style.css)
